,0,1
human: admiring,2.4242806455717183,2.800393725905954
human: affectionate,2.5738204170943444,1.927746613299756
human: angry,-1.4977011789989447,-2.8019823386218725
human: annoyed,-1.749706322514172,-2.993079952189399
human: anxious,-2.637315485801203,-1.3005060979967014
human: apologetic,-1.7937136984333646,-0.9399504291805644
human: appreciative,2.98247856389158,2.691568297204036
human: concerned,-2.778715505881868,-1.5507026593511437
human: confused,-1.9181852408289857,-2.1215564160159026
human: curious,0.574413447172499,-0.8351681742353375
human: defensive,-1.4344781812770067,-2.4970862960721463
human: descriptive,0.07451923114704088,1.476630872183515
human: desperate,-2.369617494452132,-1.331995963618482
human: disappointed,-1.9466551124265543,-2.7838415842028605
human: encouraging,2.7399499706117183,1.8996119307710249
human: excited,1.678827619109611,3.0711285838856734
human: friendly,2.289840837040413,3.1719450114578236
human: frustrated,-2.4173598961912877,-2.892213429831965
human: grateful,2.734179363992649,2.5965727676539085
human: happy,2.8034537786092923,3.10540651909464
human: indignant,-1.3144733268297788,-2.7573165580777417
human: irritated,-1.7940092998530355,-2.980957950603362
human: joyful,2.7099831370204246,3.0357942157434366
human: nostalgic,1.6260570840716841,1.0421174278321597
human: pleased,2.9053072212633184,2.9910341398857465
human: proud,2.0998243990532326,2.690151042470667
human: reassuring,2.358090223040548,1.2959787488868697
human: reflective,-0.5227612159221994,0.9529879994013396
human: relieved,1.3270740947164916,2.31216030424061
human: resigned,-2.1373513982623265,-2.1928474945270415
human: sad,-2.5832126683811096,-2.265968320036797
human: sarcastic,0.0754052266011439,-1.7188534223139134
human: shocked,-0.6598132193438663,-0.49009377271465154
human: skeptical,-0.6013590478038084,-1.9788958686315596
human: surprised,1.0729028098208626,-0.6176257282411731
human: sympathetic,-1.132105209485653,0.7354520596514293
human: thankful,2.8347012168218857,2.473688346878782
human: uncertain,-1.840197742084097,-1.5481199094979499
human: urgent,-2.053009632140515,-0.4366794927613351
human: worried,-2.7033684097385517,-1.2349267477254653
gpt: admiring,-1.9901624489129504,0.8485638577084444
gpt: affectionate,-1.3436745117847346,1.731103843957294
gpt: angry,1.1314690865956232,-2.0055058586468215
gpt: annoyed,1.3625786665085986,-2.064375149901163
gpt: anxious,2.13971902493051,0.5763565637918118
gpt: apologetic,0.8959802827146769,0.7138772313866467
gpt: appreciative,-2.729659245958163,0.16879925834499523
gpt: concerned,2.4667792240286364,0.046545865474725764
gpt: confused,1.827242269903187,-0.01115408364808812
gpt: curious,0.6688538320740491,-0.5202210688312733
gpt: defensive,0.9374923110254392,-1.9983653826271555
gpt: descriptive,-0.3776177293356377,2.017804524028364
gpt: desperate,2.2838014503203468,-0.2645374381993888
gpt: disappointed,1.746279239393239,-1.5498281202243727
gpt: encouraging,-1.8020819438425386,0.5600339976101403
gpt: excited,-2.335996338095836,1.1893325753947643
gpt: friendly,-2.3963642897325985,1.7279339623808523
gpt: frustrated,1.9860236926711896,-1.5821619593466398
gpt: grateful,-2.338994514218329,-0.3318193592866346
gpt: happy,-3.033146856689285,1.246268273602236
gpt: indignant,0.8905361032672126,-2.1349097360091243
gpt: irritated,1.4933049167303998,-1.986763971505911
gpt: joyful,-2.8794316128299524,1.289738838459396
gpt: nostalgic,-0.3518191515904085,1.9108007106266507
gpt: pleased,-3.21351564061847,0.90767922080161
gpt: proud,-1.031066157891282,0.0771283833781638
gpt: reassuring,-0.8831636047816558,1.009027106371791
gpt: reflective,0.258283633108838,1.6962334268673591
gpt: relieved,-1.7984926064096793,-0.31851995004197226
gpt: resigned,1.528952710777208,-0.9320425001846552
gpt: sad,1.3589914001959227,1.0456811382049496
gpt: sarcastic,-0.2235527672204571,-1.4275224673745148
gpt: shocked,0.28402269316707035,-0.958247862571854
gpt: skeptical,1.141027089469556,-1.5359149253606834
gpt: surprised,-0.6713695296430481,-0.924892094432034
gpt: sympathetic,0.9928838906275234,1.2369857104689852
gpt: thankful,-2.287573629304477,-0.3816783983729839
gpt: uncertain,1.8964532687301379,0.4973590619525755
gpt: urgent,2.0257628034996245,-0.09489138575282136
gpt: worried,2.371244989120511,0.5260981615063349
