,id,idx_1,word_1,idx_2,word_2
0,0,0,accusatory,0,accusatory
1,1,0,accusatory,1,admiring
2,2,0,accusatory,2,affectionate
3,3,0,accusatory,3,amazed
4,4,0,accusatory,4,annoyed
5,5,0,accusatory,5,anxious
6,6,0,accusatory,6,apologetic
7,7,0,accusatory,7,appreciative
8,8,0,accusatory,8,casual
9,9,0,accusatory,9,cautious
10,10,0,accusatory,10,cheerful
11,11,0,accusatory,11,concerned
12,12,0,accusatory,12,confident
13,13,0,accusatory,13,confused
14,14,0,accusatory,14,curious
15,15,0,accusatory,15,disappointed
16,16,0,accusatory,16,dismissive
17,17,0,accusatory,17,ecstatic
18,18,0,accusatory,18,elated
19,19,0,accusatory,19,embarrassed
20,20,0,accusatory,20,encouraging
21,21,0,accusatory,21,enthusiastic
22,22,0,accusatory,22,exasperated
23,23,0,accusatory,23,excited
24,24,0,accusatory,24,frustrated
25,25,0,accusatory,25,grateful
26,26,0,accusatory,26,indignant
27,27,0,accusatory,27,inquisitive
28,28,0,accusatory,28,interested
29,29,0,accusatory,29,irritated
30,30,0,accusatory,30,mournful
31,31,0,accusatory,31,nostalgic
32,32,0,accusatory,32,optimistic
33,33,0,accusatory,33,overwhelmed
34,34,0,accusatory,34,peaceful
35,35,0,accusatory,35,pessimistic
36,36,0,accusatory,36,polite
37,37,0,accusatory,37,reassuring
38,38,0,accusatory,38,reflective
39,39,0,accusatory,39,regretful
40,40,0,accusatory,40,rejected
41,41,0,accusatory,41,relieved
42,42,0,accusatory,42,resigned
43,43,0,accusatory,43,romantic
44,44,0,accusatory,44,sad
45,45,0,accusatory,45,sarcastic
46,46,0,accusatory,46,serene
47,47,0,accusatory,47,skeptical
48,48,0,accusatory,48,stressed
49,49,0,accusatory,49,uncertain
50,51,1,admiring,1,admiring
51,52,1,admiring,2,affectionate
52,53,1,admiring,3,amazed
53,54,1,admiring,4,annoyed
54,55,1,admiring,5,anxious
55,56,1,admiring,6,apologetic
56,57,1,admiring,7,appreciative
57,58,1,admiring,8,casual
58,59,1,admiring,9,cautious
59,60,1,admiring,10,cheerful
60,61,1,admiring,11,concerned
61,62,1,admiring,12,confident
62,63,1,admiring,13,confused
63,64,1,admiring,14,curious
64,65,1,admiring,15,disappointed
65,66,1,admiring,16,dismissive
66,67,1,admiring,17,ecstatic
67,68,1,admiring,18,elated
