_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,sentence,tones
{},False,{},1,2023-12-17 09:10:07,False,,,DenseRatingRemnantTrial,441,441,True,441,2,1,feature_rating,"{""sentence"": ""Oh my goodness, I can`t believe we`re going to Disneyland tomorrow!"", ""tones"": [""nostalgic""]}",True,False,,0.0,,"{""sentence"": ""Oh my goodness, I can`t believe we`re going to Disneyland tomorrow!"", ""tones"": [""nostalgic""], ""answer"": {""nostalgic"": ""2""}}",True,19.0,,,8.094,140.0,190.0,50.0,0,default,DenseRatingRemnantTrial,Info,"Oh my goodness, I can`t believe we`re going to Disneyland tomorrow!","[""nostalgic""]"
{},False,{},2,2023-12-17 09:10:11,False,,,DenseRatingRemnantTrial,1549,1549,True,1549,1,2,feature_rating,"{""sentence"": ""Please allow me to assist with any problems you may have."", ""tones"": [""angry""]}",True,False,,0.0,,"{""sentence"": ""Please allow me to assist with any problems you may have."", ""tones"": [""angry""], ""answer"": {""angry"": ""1""}}",True,26.0,,,40.641,140.0,190.0,50.0,0,default,DenseRatingRemnantTrial,Info,Please allow me to assist with any problems you may have.,"[""angry""]"
{},False,{},3,2023-12-17 09:10:16,False,,,DenseRatingRemnantTrial,1544,1544,True,1544,2,1,feature_rating,"{""sentence"": ""Is he really coming over then?"", ""tones"": [""sad""]}",True,False,,0.0,,"{""sentence"": ""Is he really coming over then?"", ""tones"": [""sad""], ""answer"": {""sad"": ""3""}}",True,20.0,,,6.433,190.0,240.0,50.0,0,default,DenseRatingRemnantTrial,Info,Is he really coming over then?,"[""sad""]"
{},False,{},4,2023-12-17 09:10:24,False,,,DenseRatingRemnantTrial,1520,1520,True,1520,2,1,feature_rating,"{""sentence"": ""I wondered if her intentions were in the right place."", ""tones"": [""sympathetic""]}",True,False,,0.0,,"{""sentence"": ""I wondered if her intentions were in the right place."", ""tones"": [""sympathetic""], ""answer"": {""sympathetic"": ""1""}}",True,21.0,,,5.113,240.0,290.0,50.0,0,default,DenseRatingRemnantTrial,Info,I wondered if her intentions were in the right place.,"[""sympathetic""]"
{},False,{},5,2023-12-17 09:10:30,False,,,DenseRatingRemnantTrial,1760,1760,True,1760,2,1,feature_rating,"{""sentence"": ""It is a known fact that bananas are a yellow fruit."", ""tones"": [""joyful""]}",True,False,,0.0,,"{""sentence"": ""It is a known fact that bananas are a yellow fruit."", ""tones"": [""joyful""], ""answer"": {""joyful"": ""1""}}",True,22.0,,,3.223,290.0,340.0,50.0,0,default,DenseRatingRemnantTrial,Info,It is a known fact that bananas are a yellow fruit.,"[""joyful""]"
{},False,{},6,2023-12-17 09:10:34,False,,,DenseRatingRemnantTrial,112,112,True,112,2,1,feature_rating,"{""sentence"": ""Do you really expect me to believe that?"", ""tones"": [""encouraging""]}",True,False,,0.0,,"{""sentence"": ""Do you really expect me to believe that?"", ""tones"": [""encouraging""], ""answer"": {""encouraging"": ""1""}}",True,23.0,,,2.928,340.0,390.0,50.0,0,default,DenseRatingRemnantTrial,Info,Do you really expect me to believe that?,"[""encouraging""]"
{},False,{},7,2023-12-17 09:10:38,False,,,DenseRatingRemnantTrial,949,949,True,949,2,1,feature_rating,"{""sentence"": ""I can`t wait to see the movie with you later!"", ""tones"": [""annoyed""]}",True,False,,0.0,,"{""sentence"": ""I can`t wait to see the movie with you later!"", ""tones"": [""annoyed""], ""answer"": {""annoyed"": ""1""}}",True,24.0,,,5.118,390.0,440.0,50.0,0,default,DenseRatingRemnantTrial,Info,I can`t wait to see the movie with you later!,"[""annoyed""]"
{},False,{},8,2023-12-17 09:10:45,False,,,DenseRatingRemnantTrial,235,235,True,235,2,1,feature_rating,"{""sentence"": ""I really couldn`t be bothered to get out of bed this morning."", ""tones"": [""sympathetic""]}",True,False,,0.0,,"{""sentence"": ""I really couldn`t be bothered to get out of bed this morning."", ""tones"": [""sympathetic""], ""answer"": {""sympathetic"": ""1""}}",True,25.0,,,3.503,440.0,490.0,50.0,0,default,DenseRatingRemnantTrial,Info,I really couldn`t be bothered to get out of bed this morning.,"[""sympathetic""]"
{},False,{},9,2023-12-17 09:10:49,False,,,DenseRatingRemnantTrial,567,567,True,567,2,1,feature_rating,"{""sentence"": ""How are you feeling today?"", ""tones"": [""friendly""]}",True,False,,0.0,,"{""sentence"": ""How are you feeling today?"", ""tones"": [""friendly""], ""answer"": {""friendly"": ""3""}}",True,27.0,,,5.062,490.0,540.0,50.0,0,default,DenseRatingRemnantTrial,Info,How are you feeling today?,"[""friendly""]"
{},False,{},10,2023-12-17 09:10:53,False,,,DenseRatingRemnantTrial,1499,1499,True,1499,1,2,feature_rating,"{""sentence"": ""I wondered if her intentions were in the right place."", ""tones"": [""descriptive""]}",True,False,,0.0,,"{""sentence"": ""I wondered if her intentions were in the right place."", ""tones"": [""descriptive""], ""answer"": {""descriptive"": ""4""}}",True,30.0,,,17.218,190.0,240.0,50.0,0,default,DenseRatingRemnantTrial,Info,I wondered if her intentions were in the right place.,"[""descriptive""]"
